Processo;Tipo;Numero;Ano;Ementa;Autor;Relator;Data_Tramitação;Local_Tramitação;Origem_Tramitação;Data_TI;Local_TI;Estado;Dias na Comissão;Dias no Estado Atual
PLO 0011/2026;PLO;0011;2026;Projeto de PLO nº 0011/2026 - Descrição do projeto número 11;Ver. DELEGADO JOÃO PAULO (PSD);Ver. SONINHA FRANCISCHINI (PL);11/01/2026 00:00:00;FIN;Recebido de SGP57;23/04/2026 00:00;Secretaria (SGP43);Estudo para manifestação do relator;64;24
PR 0012/2026;PR;0012;2026;Projeto de PR nº 0012/2026 - Descrição do projeto número 12;Ver. DELEGADO JOÃO PAULO (PSD);Ver. SONINHA FRANCISCHINI (PL);22/05/2026 00:00:00;FIN;Recebido de SGP84;12/04/2026 00:00;Secretaria (SGP60);Encaminhado para Análise;29;10
PDL 0013/2026;PDL;0013;2026;Projeto de PDL nº 0013/2026 - Descrição do projeto número 13;Ver. EDISON SANTOS (PDT);Sem Relator Designado;25/05/2026 00:00:00;FIN;Recebido de SGP56;09/03/2026 00:00;Secretaria (SGP28);Estudo para manifestação do relator;4;20
PL 0014/2026;PL;0014;2026;Projeto de PL nº 0014/2026 - Descrição do projeto número 14;Ver. FERNANDO HOLIDAY (Constituinte Exclusivo);Ver. LUNA ZARATTINI (PT);31/05/2026 00:00:00;FIN;Recebido de SGP64;17/04/2026 00:00;Secretaria (SGP76);Encaminhado para Análise;108;4
PDL 0015/2026;PDL;0015;2026;Projeto de PDL nº 0015/2026 - Descrição do projeto número 15;Ver. CRIS MONTERO (Novo);Ver. TONINHO PAIVA (REPUBLICANOS);16/03/2026 00:00:00;FIN;Recebido de SGP47;01/03/2026 00:00;Secretaria (SGP27);Aguardando Notas Taquigráficas;88;8
PR 0016/2026;PR;0016;2026;Projeto de PR nº 0016/2026 - Descrição do projeto número 16;Ver. CRIS MONTERO (Novo);Sem Relator Designado;30/04/2026 00:00:00;FIN;Recebido de SGP42;11/02/2026 00:00;Secretaria (SGP20);Encaminhado para Análise;20;27
PL 0017/2026;PL;0017;2026;Projeto de PL nº 0017/2026 - Descrição do projeto número 17;Ver. DELEGADO JOÃO PAULO (PSD);Sem Relator Designado;03/03/2026 00:00:00;FIN;Recebido de SGP74;02/01/2026 00:00;Secretaria (SGP46);Aguardando Pareceres;30;26
PLO 0018/2026;PLO;0018;2026;Projeto de PLO nº 0018/2026 - Descrição do projeto número 18;Ver. EDISON SANTOS (PDT);Ver. KEIT LIMA (PSOL);23/01/2026 00:00:00;FIN;Recebido de SGP37;10/02/2026 00:00;Secretaria (SGP42);Rejeitado;35;23
PR 0019/2026;PR;0019;2026;Projeto de PR nº 0019/2026 - Descrição do projeto número 19;Ver. JOSÉ POLICE NETO (PSDB);Ver. FERNANDO HOLIDAY (Constituinte Exclusivo);11/01/2026 00:00:00;FIN;Recebido de SGP58;07/04/2026 00:00;Secretaria (SGP66);Estudo para manifestação do relator;71;17
PDL 0020/2026;PDL;0020;2026;Projeto de PDL nº 0020/2026 - Descrição do projeto número 20;Ver. DELEGADO JOÃO PAULO (PSD);Ver. TONINHO PAIVA (REPUBLICANOS);18/04/2026 00:00:00;FIN;Recebido de SGP84;15/04/2026 00:00;Secretaria (SGP81);Aprovado;63;15
PL 0021/2026;PL;0021;2026;Projeto de PL nº 0021/2026 - Descrição do projeto número 21;Ver. TONINHO PAIVA (REPUBLICANOS);Ver. LUNA ZARATTINI (PT);21/03/2026 00:00:00;FIN;Recebido de SGP86;25/03/2026 00:00;Secretaria (SGP29);Aguardando Pareceres;79;4
PL 0022/2026;PL;0022;2026;Projeto de PL nº 0022/2026 - Descrição do projeto número 22;Ver. LUNA ZARATTINI (PT);Ver. FERNANDO HOLIDAY (Constituinte Exclusivo);23/02/2026 00:00:00;FIN;Recebido de SGP80;20/01/2026 00:00;Secretaria (SGP57);Recebido;41;28
PR 0023/2026;PR;0023;2026;Projeto de PR nº 0023/2026 - Descrição do projeto número 23;Ver. TONINHO PAIVA (REPUBLICANOS);Ver. EDISON SANTOS (PDT);05/04/2026 00:00:00;FIN;Recebido de SGP14;05/04/2026 00:00;Secretaria (SGP79);Em votação;35;28
PR 0024/2026;PR;0024;2026;Projeto de PR nº 0024/2026 - Descrição do projeto número 24;Ver. EDISON SANTOS (PDT);Sem Relator Designado;31/01/2026 00:00:00;FIN;Recebido de SGP34;15/05/2026 00:00;Secretaria (SGP33);Aguardando Pareceres;95;17
PR 0025/2026;PR;0025;2026;Projeto de PR nº 0025/2026 - Descrição do projeto número 25;Ver. SONINHA FRANCISCHINI (PL);Ver. KEIT LIMA (PSOL);25/03/2026 00:00:00;FIN;Recebido de SGP27;11/01/2026 00:00;Secretaria (SGP61);Aguardando Pareceres;25;10
PL 0026/2026;PL;0026;2026;Projeto de PL nº 0026/2026 - Descrição do projeto número 26;Ver. FERNANDO HOLIDAY (Constituinte Exclusivo);Ver. SONINHA FRANCISCHINI (PL);19/03/2026 00:00:00;FIN;Recebido de SGP37;07/03/2026 00:00;Secretaria (SGP96);Aguardando Pareceres;75;14
PR 0027/2026;PR;0027;2026;Projeto de PR nº 0027/2026 - Descrição do projeto número 27;Ver. FERNANDO HOLIDAY (Constituinte Exclusivo);Ver. FERNANDO HOLIDAY (Constituinte Exclusivo);18/01/2026 00:00:00;FIN;Recebido de SGP67;29/03/2026 00:00;Secretaria (SGP62);Rejeitado;100;12
PR 0028/2026;PR;0028;2026;Projeto de PR nº 0028/2026 - Descrição do projeto número 28;Ver. CRIS MONTERO (Novo);Ver. FERNANDO HOLIDAY (Constituinte Exclusivo);10/04/2026 00:00:00;FIN;Recebido de SGP60;01/01/2026 00:00;Secretaria (SGP66);Rejeitado;39;8
PLO 0029/2026;PLO;0029;2026;Projeto de PLO nº 0029/2026 - Descrição do projeto número 29;Ver. CRIS MONTERO (Novo);Ver. KEIT LIMA (PSOL);27/04/2026 00:00:00;FIN;Recebido de SGP42;07/02/2026 00:00;Secretaria (SGP28);Recebido;30;15
PLO 0030/2026;PLO;0030;2026;Projeto de PLO nº 0030/2026 - Descrição do projeto número 30;Ver. TONINHO PAIVA (REPUBLICANOS);Ver. MILTON COELHO (PP);10/05/2026 00:00:00;FIN;Recebido de SGP86;07/03/2026 00:00;Secretaria (SGP90);Aguardando Pareceres;78;23
PDL 0031/2026;PDL;0031;2026;Projeto de PDL nº 0031/2026 - Descrição do projeto número 31;Ver. LUNA ZARATTINI (PT);Ver. TONINHO PAIVA (REPUBLICANOS);04/03/2026 00:00:00;FIN;Recebido de SGP59;15/01/2026 00:00;Secretaria (SGP72);Aprovado;1;5
PR 0032/2026;PR;0032;2026;Projeto de PR nº 0032/2026 - Descrição do projeto número 32;Ver. DELEGADO JOÃO PAULO (PSD);Ver. KEIT LIMA (PSOL);11/04/2026 00:00:00;FIN;Recebido de SGP76;12/03/2026 00:00;Secretaria (SGP70);Estudo para manifestação do relator;67;30
PLO 0033/2026;PLO;0033;2026;Projeto de PLO nº 0033/2026 - Descrição do projeto número 33;Ver. JOSÉ POLICE NETO (PSDB);Ver. FERNANDO HOLIDAY (Constituinte Exclusivo);04/04/2026 00:00:00;FIN;Recebido de SGP66;04/05/2026 00:00;Secretaria (SGP96);Encaminhado para Análise;48;30
PDL 0034/2026;PDL;0034;2026;Projeto de PDL nº 0034/2026 - Descrição do projeto número 34;Ver. SONINHA FRANCISCHINI (PL);Ver. MILTON COELHO (PP);23/03/2026 00:00:00;FIN;Recebido de SGP49;16/04/2026 00:00;Secretaria (SGP17);Aprovado;107;20
PL 0035/2026;PL;0035;2026;Projeto de PL nº 0035/2026 - Descrição do projeto número 35;Ver. FERNANDO HOLIDAY (Constituinte Exclusivo);Ver. MILTON COELHO (PP);20/05/2026 00:00:00;FIN;Recebido de SGP93;02/02/2026 00:00;Secretaria (SGP90);Recebido;56;2
PDL 0036/2026;PDL;0036;2026;Projeto de PDL nº 0036/2026 - Descrição do projeto número 36;Ver. SONINHA FRANCISCHINI (PL);Ver. MILTON COELHO (PP);08/05/2026 00:00:00;FIN;Recebido de SGP99;10/01/2026 00:00;Secretaria (SGP31);Em votação;17;13
PL 0037/2026;PL;0037;2026;Projeto de PL nº 0037/2026 - Descrição do projeto número 37;Ver. LUNA ZARATTINI (PT);Ver. FERNANDO HOLIDAY (Constituinte Exclusivo);24/04/2026 00:00:00;FIN;Recebido de SGP77;26/05/2026 00:00;Secretaria (SGP52);Estudo para manifestação do relator;114;25
PLO 0038/2026;PLO;0038;2026;Projeto de PLO nº 0038/2026 - Descrição do projeto número 38;Ver. CRIS MONTERO (Novo);Ver. KEIT LIMA (PSOL);28/04/2026 00:00:00;FIN;Recebido de SGP49;29/01/2026 00:00;Secretaria (SGP56);Rejeitado;88;14
PLO 0039/2026;PLO;0039;2026;Projeto de PLO nº 0039/2026 - Descrição do projeto número 39;Ver. JOSÉ POLICE NETO (PSDB);Ver. EDISON SANTOS (PDT);13/02/2026 00:00:00;FIN;Recebido de SGP16;07/04/2026 00:00;Secretaria (SGP38);Rejeitado;55;15
PLO 0040/2026;PLO;0040;2026;Projeto de PLO nº 0040/2026 - Descrição do projeto número 40;Ver. LUNA ZARATTINI (PT);Ver. FERNANDO HOLIDAY (Constituinte Exclusivo);13/05/2026 00:00:00;FIN;Recebido de SGP79;18/05/2026 00:00;Secretaria (SGP89);Recebido;34;24
PLO 0041/2026;PLO;0041;2026;Projeto de PLO nº 0041/2026 - Descrição do projeto número 41;Ver. TONINHO PAIVA (REPUBLICANOS);Ver. JOSÉ POLICE NETO (PSDB);05/04/2026 00:00:00;FIN;Recebido de SGP77;26/02/2026 00:00;Secretaria (SGP25);Aprovado;37;21
PR 0042/2026;PR;0042;2026;Projeto de PR nº 0042/2026 - Descrição do projeto número 42;Ver. TONINHO PAIVA (REPUBLICANOS);Ver. TONINHO PAIVA (REPUBLICANOS);09/01/2026 00:00:00;FIN;Recebido de SGP93;06/03/2026 00:00;Secretaria (SGP31);Estudo para manifestação do relator;61;25
PL 0043/2026;PL;0043;2026;Projeto de PL nº 0043/2026 - Descrição do projeto número 43;Ver. LUNA ZARATTINI (PT);Ver. KEIT LIMA (PSOL);26/02/2026 00:00:00;FIN;Recebido de SGP10;09/02/2026 00:00;Secretaria (SGP71);Estudo para manifestação do relator;73;4
PR 0044/2026;PR;0044;2026;Projeto de PR nº 0044/2026 - Descrição do projeto número 44;Ver. FERNANDO HOLIDAY (Constituinte Exclusivo);Ver. MILTON COELHO (PP);16/01/2026 00:00:00;FIN;Recebido de SGP53;03/01/2026 00:00;Secretaria (SGP65);Aguardando Pareceres;75;14
PLO 0045/2026;PLO;0045;2026;Projeto de PLO nº 0045/2026 - Descrição do projeto número 45;Ver. DELEGADO JOÃO PAULO (PSD);Ver. EDISON SANTOS (PDT);07/02/2026 00:00:00;FIN;Recebido de SGP22;22/04/2026 00:00;Secretaria (SGP58);Aguardando Notas Taquigráficas;28;13
PLO 0046/2026;PLO;0046;2026;Projeto de PLO nº 0046/2026 - Descrição do projeto número 46;Ver. FERNANDO HOLIDAY (Constituinte Exclusivo);Ver. TONINHO PAIVA (REPUBLICANOS);26/03/2026 00:00:00;FIN;Recebido de SGP81;24/02/2026 00:00;Secretaria (SGP51);Estudo para manifestação do relator;43;7
PL 0047/2026;PL;0047;2026;Projeto de PL nº 0047/2026 - Descrição do projeto número 47;Ver. SONINHA FRANCISCHINI (PL);Ver. KEIT LIMA (PSOL);01/05/2026 00:00:00;FIN;Recebido de SGP39;27/03/2026 00:00;Secretaria (SGP64);Recebido;36;3
PL 0048/2026;PL;0048;2026;Projeto de PL nº 0048/2026 - Descrição do projeto número 48;Ver. EDISON SANTOS (PDT);Ver. FERNANDO HOLIDAY (Constituinte Exclusivo);18/03/2026 00:00:00;FIN;Recebido de SGP47;03/02/2026 00:00;Secretaria (SGP93);Em votação;91;9
PLO 0049/2026;PLO;0049;2026;Projeto de PLO nº 0049/2026 - Descrição do projeto número 49;Ver. LUNA ZARATTINI (PT);Ver. MILTON COELHO (PP);24/05/2026 00:00:00;FIN;Recebido de SGP28;23/04/2026 00:00;Secretaria (SGP18);Estudo para manifestação do relator;70;10
PDL 0050/2026;PDL;0050;2026;Projeto de PDL nº 0050/2026 - Descrição do projeto número 50;Ver. FERNANDO HOLIDAY (Constituinte Exclusivo);Ver. EDISON SANTOS (PDT);23/04/2026 00:00:00;FIN;Recebido de SGP61;15/03/2026 00:00;Secretaria (SGP99);Encaminhado para Análise;59;18
PDL 0051/2026;PDL;0051;2026;Projeto de PDL nº 0051/2026 - Descrição do projeto número 51;Ver. JOSÉ POLICE NETO (PSDB);Ver. SONINHA FRANCISCHINI (PL);25/05/2026 00:00:00;FIN;Recebido de SGP45;18/05/2026 00:00;Secretaria (SGP69);Aguardando Pareceres;100;19
PDL 0052/2026;PDL;0052;2026;Projeto de PDL nº 0052/2026 - Descrição do projeto número 52;Ver. FERNANDO HOLIDAY (Constituinte Exclusivo);Ver. FERNANDO HOLIDAY (Constituinte Exclusivo);08/01/2026 00:00:00;FIN;Recebido de SGP10;05/04/2026 00:00;Secretaria (SGP49);Em votação;40;8
PL 0053/2026;PL;0053;2026;Projeto de PL nº 0053/2026 - Descrição do projeto número 53;Ver. SONINHA FRANCISCHINI (PL);Ver. JOSÉ POLICE NETO (PSDB);07/04/2026 00:00:00;FIN;Recebido de SGP77;20/03/2026 00:00;Secretaria (SGP86);Aguardando Notas Taquigráficas;24;11
PL 0054/2026;PL;0054;2026;Projeto de PL nº 0054/2026 - Descrição do projeto número 54;Ver. TONINHO PAIVA (REPUBLICANOS);Ver. KEIT LIMA (PSOL);17/04/2026 00:00:00;FIN;Recebido de SGP98;16/05/2026 00:00;Secretaria (SGP26);Em votação;119;23
PL 0055/2026;PL;0055;2026;Projeto de PL nº 0055/2026 - Descrição do projeto número 55;Ver. LUNA ZARATTINI (PT);Ver. LUNA ZARATTINI (PT);11/01/2026 00:00:00;FIN;Recebido de SGP87;19/05/2026 00:00;Secretaria (SGP45);Aguardando Notas Taquigráficas;53;7
PDL 0056/2026;PDL;0056;2026;Projeto de PDL nº 0056/2026 - Descrição do projeto número 56;Ver. TONINHO PAIVA (REPUBLICANOS);Ver. KEIT LIMA (PSOL);11/01/2026 00:00:00;FIN;Recebido de SGP27;05/02/2026 00:00;Secretaria (SGP27);Aprovado;103;1
PL 0057/2026;PL;0057;2026;Projeto de PL nº 0057/2026 - Descrição do projeto número 57;Ver. TONINHO PAIVA (REPUBLICANOS);Ver. EDISON SANTOS (PDT);16/03/2026 00:00:00;FIN;Recebido de SGP95;18/01/2026 00:00;Secretaria (SGP82);Em votação;59;5
PLO 0058/2026;PLO;0058;2026;Projeto de PLO nº 0058/2026 - Descrição do projeto número 58;Ver. JOSÉ POLICE NETO (PSDB);Ver. JOSÉ POLICE NETO (PSDB);14/03/2026 00:00:00;FIN;Recebido de SGP88;07/01/2026 00:00;Secretaria (SGP58);Estudo para manifestação do relator;76;27
PLO 0059/2026;PLO;0059;2026;Projeto de PLO nº 0059/2026 - Descrição do projeto número 59;Ver. DELEGADO JOÃO PAULO (PSD);Sem Relator Designado;03/01/2026 00:00:00;FIN;Recebido de SGP95;21/02/2026 00:00;Secretaria (SGP25);Em votação;59;8
PDL 0060/2026;PDL;0060;2026;Projeto de PDL nº 0060/2026 - Descrição do projeto número 60;Ver. JOSÉ POLICE NETO (PSDB);Ver. SONINHA FRANCISCHINI (PL);06/02/2026 00:00:00;FIN;Recebido de SGP60;30/01/2026 00:00;Secretaria (SGP14);Em votação;67;27
PL 0061/2026;PL;0061;2026;Projeto de PL nº 0061/2026 - Descrição do projeto número 61;Ver. JOSÉ POLICE NETO (PSDB);Ver. MILTON COELHO (PP);15/01/2026 00:00:00;FIN;Recebido de SGP55;16/03/2026 00:00;Secretaria (SGP96);Encaminhado para Análise;15;20
PLO 0062/2026;PLO;0062;2026;Projeto de PLO nº 0062/2026 - Descrição do projeto número 62;Ver. EDISON SANTOS (PDT);Sem Relator Designado;23/01/2026 00:00:00;FIN;Recebido de SGP13;13/04/2026 00:00;Secretaria (SGP95);Encaminhado para Análise;116;9
PLO 0063/2026;PLO;0063;2026;Projeto de PLO nº 0063/2026 - Descrição do projeto número 63;Ver. SONINHA FRANCISCHINI (PL);Ver. SONINHA FRANCISCHINI (PL);28/05/2026 00:00:00;FIN;Recebido de SGP37;29/05/2026 00:00;Secretaria (SGP73);Aprovado;23;11
PL 0064/2026;PL;0064;2026;Projeto de PL nº 0064/2026 - Descrição do projeto número 64;Ver. TONINHO PAIVA (REPUBLICANOS);Ver. MILTON COELHO (PP);06/02/2026 00:00:00;FIN;Recebido de SGP26;12/04/2026 00:00;Secretaria (SGP85);Recebido;88;14
PLO 0065/2026;PLO;0065;2026;Projeto de PLO nº 0065/2026 - Descrição do projeto número 65;Ver. TONINHO PAIVA (REPUBLICANOS);Ver. JOSÉ POLICE NETO (PSDB);16/04/2026 00:00:00;FIN;Recebido de SGP33;18/04/2026 00:00;Secretaria (SGP13);Recebido;86;12
PLO 0066/2026;PLO;0066;2026;Projeto de PLO nº 0066/2026 - Descrição do projeto número 66;Ver. LUNA ZARATTINI (PT);Ver. KEIT LIMA (PSOL);21/01/2026 00:00:00;FIN;Recebido de SGP34;22/01/2026 00:00;Secretaria (SGP43);Aguardando Notas Taquigráficas;117;23
PR 0067/2026;PR;0067;2026;Projeto de PR nº 0067/2026 - Descrição do projeto número 67;Ver. CRIS MONTERO (Novo);Ver. SONINHA FRANCISCHINI (PL);29/01/2026 00:00:00;FIN;Recebido de SGP54;20/03/2026 00:00;Secretaria (SGP44);Em votação;13;12
PL 0068/2026;PL;0068;2026;Projeto de PL nº 0068/2026 - Descrição do projeto número 68;Ver. EDISON SANTOS (PDT);Ver. TONINHO PAIVA (REPUBLICANOS);03/04/2026 00:00:00;FIN;Recebido de SGP72;17/05/2026 00:00;Secretaria (SGP77);Aguardando Pareceres;52;25
PDL 0069/2026;PDL;0069;2026;Projeto de PDL nº 0069/2026 - Descrição do projeto número 69;Ver. LUNA ZARATTINI (PT);Sem Relator Designado;12/05/2026 00:00:00;FIN;Recebido de SGP41;15/03/2026 00:00;Secretaria (SGP16);Rejeitado;80;15
PDL 0070/2026;PDL;0070;2026;Projeto de PDL nº 0070/2026 - Descrição do projeto número 70;Ver. CRIS MONTERO (Novo);Ver. SONINHA FRANCISCHINI (PL);04/02/2026 00:00:00;FIN;Recebido de SGP47;29/03/2026 00:00;Secretaria (SGP43);Rejeitado;26;26
PLO 0071/2026;PLO;0071;2026;Projeto de PLO nº 0071/2026 - Descrição do projeto número 71;Ver. LUNA ZARATTINI (PT);Ver. TONINHO PAIVA (REPUBLICANOS);16/04/2026 00:00:00;FIN;Recebido de SGP77;29/01/2026 00:00;Secretaria (SGP51);Aguardando Pareceres;46;17
PL 0072/2026;PL;0072;2026;Projeto de PL nº 0072/2026 - Descrição do projeto número 72;Ver. CRIS MONTERO (Novo);Ver. TONINHO PAIVA (REPUBLICANOS);12/01/2026 00:00:00;FIN;Recebido de SGP83;15/05/2026 00:00;Secretaria (SGP47);Em votação;89;19
PDL 0073/2026;PDL;0073;2026;Projeto de PDL nº 0073/2026 - Descrição do projeto número 73;Ver. FERNANDO HOLIDAY (Constituinte Exclusivo);Ver. TONINHO PAIVA (REPUBLICANOS);10/01/2026 00:00:00;FIN;Recebido de SGP82;21/03/2026 00:00;Secretaria (SGP31);Recebido;25;29
PL 0074/2026;PL;0074;2026;Projeto de PL nº 0074/2026 - Descrição do projeto número 74;Ver. TONINHO PAIVA (REPUBLICANOS);Sem Relator Designado;28/01/2026 00:00:00;FIN;Recebido de SGP42;11/05/2026 00:00;Secretaria (SGP35);Rejeitado;43;7
PR 0075/2026;PR;0075;2026;Projeto de PR nº 0075/2026 - Descrição do projeto número 75;Ver. TONINHO PAIVA (REPUBLICANOS);Ver. LUNA ZARATTINI (PT);15/04/2026 00:00:00;FIN;Recebido de SGP78;18/03/2026 00:00;Secretaria (SGP32);Em votação;45;2
PL 0076/2026;PL;0076;2026;Projeto de PL nº 0076/2026 - Descrição do projeto número 76;Ver. FERNANDO HOLIDAY (Constituinte Exclusivo);Ver. KEIT LIMA (PSOL);06/05/2026 00:00:00;FIN;Recebido de SGP91;03/03/2026 00:00;Secretaria (SGP55);Aguardando Pareceres;118;16
PL 0077/2026;PL;0077;2026;Projeto de PL nº 0077/2026 - Descrição do projeto número 77;Ver. LUNA ZARATTINI (PT);Ver. EDISON SANTOS (PDT);21/05/2026 00:00:00;FIN;Recebido de SGP43;08/01/2026 00:00;Secretaria (SGP44);Em votação;63;9
PLO 0078/2026;PLO;0078;2026;Projeto de PLO nº 0078/2026 - Descrição do projeto número 78;Ver. SONINHA FRANCISCHINI (PL);Ver. JOSÉ POLICE NETO (PSDB);25/05/2026 00:00:00;FIN;Recebido de SGP54;03/02/2026 00:00;Secretaria (SGP67);Recebido;87;7
PR 0079/2026;PR;0079;2026;Projeto de PR nº 0079/2026 - Descrição do projeto número 79;Ver. DELEGADO JOÃO PAULO (PSD);Ver. SONINHA FRANCISCHINI (PL);13/01/2026 00:00:00;FIN;Recebido de SGP30;03/01/2026 00:00;Secretaria (SGP23);Em votação;68;19
PR 0080/2026;PR;0080;2026;Projeto de PR nº 0080/2026 - Descrição do projeto número 80;Ver. JOSÉ POLICE NETO (PSDB);Ver. MILTON COELHO (PP);28/01/2026 00:00:00;FIN;Recebido de SGP91;02/05/2026 00:00;Secretaria (SGP30);Recebido;40;26
PL 0081/2026;PL;0081;2026;Projeto de PL nº 0081/2026 - Descrição do projeto número 81;Ver. FERNANDO HOLIDAY (Constituinte Exclusivo);Ver. LUNA ZARATTINI (PT);14/02/2026 00:00:00;FIN;Recebido de SGP25;18/04/2026 00:00;Secretaria (SGP64);Estudo para manifestação do relator;111;29
PL 0082/2026;PL;0082;2026;Projeto de PL nº 0082/2026 - Descrição do projeto número 82;Ver. EDISON SANTOS (PDT);Sem Relator Designado;07/03/2026 00:00:00;FIN;Recebido de SGP42;19/05/2026 00:00;Secretaria (SGP60);Rejeitado;26;15
PLO 0083/2026;PLO;0083;2026;Projeto de PLO nº 0083/2026 - Descrição do projeto número 83;Ver. CRIS MONTERO (Novo);Ver. SONINHA FRANCISCHINI (PL);22/05/2026 00:00:00;FIN;Recebido de SGP73;28/01/2026 00:00;Secretaria (SGP56);Rejeitado;20;7
PLO 0084/2026;PLO;0084;2026;Projeto de PLO nº 0084/2026 - Descrição do projeto número 84;Ver. DELEGADO JOÃO PAULO (PSD);Ver. JOSÉ POLICE NETO (PSDB);03/04/2026 00:00:00;FIN;Recebido de SGP34;16/01/2026 00:00;Secretaria (SGP61);Em votação;65;3
PR 0085/2026;PR;0085;2026;Projeto de PR nº 0085/2026 - Descrição do projeto número 85;Ver. JOSÉ POLICE NETO (PSDB);Ver. SONINHA FRANCISCHINI (PL);13/05/2026 00:00:00;FIN;Recebido de SGP40;15/01/2026 00:00;Secretaria (SGP34);Aguardando Notas Taquigráficas;13;25
PR 0086/2026;PR;0086;2026;Projeto de PR nº 0086/2026 - Descrição do projeto número 86;Ver. JOSÉ POLICE NETO (PSDB);Ver. FERNANDO HOLIDAY (Constituinte Exclusivo);16/03/2026 00:00:00;FIN;Recebido de SGP50;17/05/2026 00:00;Secretaria (SGP24);Aguardando Notas Taquigráficas;6;29
PDL 0087/2026;PDL;0087;2026;Projeto de PDL nº 0087/2026 - Descrição do projeto número 87;Ver. FERNANDO HOLIDAY (Constituinte Exclusivo);Ver. TONINHO PAIVA (REPUBLICANOS);21/05/2026 00:00:00;FIN;Recebido de SGP12;14/05/2026 00:00;Secretaria (SGP21);Aguardando Notas Taquigráficas;104;22
PL 0088/2026;PL;0088;2026;Projeto de PL nº 0088/2026 - Descrição do projeto número 88;Ver. DELEGADO JOÃO PAULO (PSD);Ver. EDISON SANTOS (PDT);31/05/2026 00:00:00;FIN;Recebido de SGP14;22/04/2026 00:00;Secretaria (SGP10);Encaminhado para Análise;25;21
PR 0089/2026;PR;0089;2026;Projeto de PR nº 0089/2026 - Descrição do projeto número 89;Ver. SONINHA FRANCISCHINI (PL);Ver. EDISON SANTOS (PDT);29/01/2026 00:00:00;FIN;Recebido de SGP17;28/05/2026 00:00;Secretaria (SGP51);Estudo para manifestação do relator;77;24
